metric,value
timestamp,2025-06-01T14:42:18.563899
data_period,2025-05-31T23:22:23.553264
confidence_score,0.70
key_findings_count,4
artist_insights_count,6731
genre_insights_count,0
temporal_insights_count,1
recommendations_count,0
market_implications_count,0
